Id,Birthdate,CreatedDate,Location_x,City,State,CityState,How_did_you_hear_about_Elite_Meet,Your_transition_to_civilian_life_begin,Undergrad,Undergrad_School,Undergrad_major,Grad_Degree,Graduate_School,Grad_Degree_Type,Years_of_Service,Officer,Military_specialty_in_real_words,Whichcourse,When_did_you_graduate,What_was_your_first_unit_after_grad,Branch,Tribe,What_locations_do_you_WANT_to_live_in,Where_do_you_NOT_WANT_to_live,What_would_be_your_ideal_next_job,Target_Industries_Pls_pick_up_to_Three,of_informational_interviews_completed,of_job_formal_interviews_completed,of_counting_getting_a_job_through_EM,What_s_more_important_to_you,How_mobile_are_you_and_your_family,Lead_RecordType,Created,Approx_Age,Combined,Location_y,Coordinates,latitude,longitude,scaled,text
003f400000cZo1bAAC,,10/16/18 15:40,"Washington,DC",Washington,DC,"Washington, DC",,,Complete,University of Charleston,Organizational Leadership,,,,25.0,False,SEAL,BUD/S (SEAL),,,Navy,SEAL,,,,,,,,,,Veteran,2018-10-16,44.0,29.0,"Washington, DC","Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581,19.61941368597148,"Washington, DC: 29"
003f400000cZo3EAAS,,10/16/18 15:40,"Chattanooga, TN",Chattanooga,TN,"Chattanooga, TN",,,,,,Complete,,MBA,,False,,Q Course (SF),,,Army,Green Beret,,,,,,,,,,Veteran,2018-10-16,,1.0,"Chattanooga, TN","Chattanooga, Hamilton County, Tennessee, United States of America",35.0457219,-85.3094883,4.061300087628456,"Chattanooga, TN: 1"
003f400000dbBWeAAM,3/14/89 0:00,10/23/18 16:17,"San Diego,CA",San Diego,CA,"San Diego, California",,,,,,,,Masters - Real Estate,9.0,False,SEAL,BUD/S (SEAL),7/31/10 0:00,SEAL Team 7,Navy,SEAL,San Diego/ Southern CA,"Mid west,south",,Real Estate,,,,Location,,Veteran,2018-10-23,28.0,92.0,"San Diego, California","San Diego, San Diego County, California, United States of America",32.7174209,-117.16277140000001,23.0,"San Diego, California: 92"
003f400000dbEUxAAM,9/29/83 0:00,10/23/18 16:30,"Houston,TX",Houston,TX,"Houston, TX",Friend,,Complete,US Military Academy,Business Management,In Progress,,MBA,11.0,True,Special Forces Team Commander,Q Course (SF),9/15/14 0:00,20th Special Forces Group,Army,Green Beret,"Houston,Fort Lauderdale,New York",West Coast,,Entrepreneurship;Healthcare;Real Estate,,,,Job,,Veteran,2018-10-23,33.0,15.0,"Houston, TX","Houston, Harris County, Texas, United States of America",29.7589382,-95.36769740000001,12.910459651079426,"Houston, TX: 15"
003f400000dbEUyAAM,7/4/92 0:00,10/23/18 16:30,"New York,NY",New York,NY,"New York, NY",Friend,,In Progress,Columbia University,Economics,,,,4.0,False,Infantry,RASP (RR),11/20/11 0:00,2/75 Ranger Regiment,Army,Ranger,"East or West Coast,Chicago",N/a,,Finance;Consulting;Tech,,,,Job,,Veteran,2018-10-23,23.0,26.0,"New York, NY","New York, United States of America",40.7127281,-74.0060152,17.067513741735045,"New York, NY: 26"
003f400000dbEUzAAM,2/26/77 0:00,10/23/18 16:30,"Richmond,VA",Richmond,VA,"Richmond, VA",Elite Meet member,,Complete,Fordham University,Physics,Complete,,MBA,5.0,False,SWCC,Crewman Qualification Training (SWCC),5/1/04 0:00,NSW SBT 12,Navy,SWCC,East Coast or West Coast,Midwest/Central States,,Entrepreneurship;Engineering;Tech,,,,Job,,Veteran,2018-10-23,24.0,3.0,"Richmond, VA","Richmond, Richmond City, Virginia, 23298, United States of America",37.53850870000001,-77.43428,6.545088823388832,"Richmond, VA: 3"
003f400000dbEV0AAM,4/12/75 0:00,10/23/18 16:30,"San Diego,CA",San Diego,CA,"San Diego, California",Co-worker,,Complete,US Naval Academy,Physics,Complete,,MBA,20.0,True,SEAL Officer,BUD/S (SEAL),5/20/99 0:00,SEAL Team ONE,Navy,SEAL,North East,Southeast,,Finance;Non-Profit;Tech,,,,Job,,Veteran,2018-10-23,42.0,92.0,"San Diego, California","San Diego, San Diego County, California, United States of America",32.7174209,-117.16277140000001,23.0,"San Diego, California: 92"
003f400000dbEV1AAM,12/8/88 0:00,10/23/18 16:30,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",Colleague,,Complete,University of Scranton,Criminal Justice,,,,6.0,False,Special Warfare Combatant Craft Crewman,Crewman Qualification Training (SWCC),9/12/13 0:00,Special Boat Team 20,Navy,SWCC,"Philadelphia,PA",,,Finance;Consulting;Government,,,,Location,,Veteran,2018-10-23,25.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbEV2AAM,1/11/82 0:00,10/23/18 16:30,"Boston,MA",Boston,MA,"Boston, MA",,,,Harvard Extension,Finance,,,Masters - Finance,7.0,False,SEAL,BUD/S (SEAL),4/20/06 0:00,ST1,Navy,SEAL,"CA,HA,OCONUS,WY,MT,CO,TX",,,,,,,,,Veteran,2018-10-23,26.0,7.0,"Boston, MA","Boston, Suffolk County, Massachusetts, United States of America",42.3602534,-71.0582912,9.11288138293635,"Boston, MA: 7"
003f400000dbEV3AAM,10/22/88 0:00,10/23/18 16:30,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",Co-worker,,Complete,University of Mississippi,Journalism,,,,6.0,False,Special Boat Operator (SWCC),Crewman Qualification Training (SWCC),3/21/14 0:00,Special Boat Team Twenty,Navy,SWCC,Southeast. Closer to the coast if I can manage.,"Due to spending the last 6 years away from family -- North of South Carolina,West of Mississippi.",,Entrepreneurship;Consulting;Real Estate,,,,Location,,Veteran,2018-10-23,25.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
